"","year","block","plot","Bare ground","Deciduous","Evergreen","Forb","Grass","Lichen","Litter","Moss","Sedge","Standing dead"
"43","2013",1,"CT",0,0.32205,0.237375,0.077225,0.011675,0.0059125,0.1050125,0.1328375,0.107875,0
"44","2013",1,"F10",0.0051125,0.3800875,0.128225,0.1622875,0.0403125,0,0.1317125,0.009975,0.065675,0
"45","2013",1,"F2",0.008225,0.2244,0.404625,0.0994625,0.047225,0.0163625,0.10185,0.0200625,0.077775,0
"46","2013",1,"F5",0.00475,0.446875,0.3479125,0.1073375,0.129875,0.0074,0.0909625,0.0311,0.1073125,0
"47","2013",2,"CT",0.0129125,0.2449375,0.29995,0.0188875,0.0205,0.012475,0.1109375,0.10565,0.1736875,0
"48","2013",2,"F10",0,0.4537625,0.107475,0.1882875,0.0502,0,0.12135,0.0067125,0.0519625,0.010375
"49","2013",2,"F2",0.010675,0.2488125,0.4259625,0.0912375,0.01575,0.0044375,0.061475,0.0594875,0.0822125,0
"50","2013",2,"F5",0,0.3827125,0.3511625,0.005975,0.04305,0.0019625,0.1016875,0.0385625,0.073725,0
"51","2013",3,"CT",0.00745,0.3448625,0.2258125,0.04735,0.0395375,0.046675,0.089125,0.0993375,0.0998375,0
"52","2013",3,"F10",0.00085,0.4436875,0.0795625,0.0998375,0.071125,0.0016125,0.2065875,0.004075,0.0926875,0
"53","2013",3,"F2",0.0015,0.3045375,0.3892375,0.0622625,0.026,0.0190625,0.0705625,0.0494125,0.0773875,0
"54","2013",3,"F5",0,0.347025,0.2874,0.0550625,0.01575,0.0103125,0.1125,0.0260125,0.1733875,0
"55","2014",1,"CT",0,0.2989125,0.2964625,0.07315,0.0287,0.020775,0.0168,0.0641875,0.2009125,0
"56","2014",1,"F10",0.0074625,0.4052875,0.163425,0.1480125,0.059975,0.005525,0.107425,0.0087375,0.0941375,0
"57","2014",1,"F2",0.0082,0.2547125,0.435025,0.072975,0.056175,0.018775,0.01285,0.01455,0.126775,0
"58","2014",1,"F5",0.005925,0.2318375,0.3352875,0.1037625,0.0996125,0.0135625,0.0199375,0.0101875,0.1798625,0
"59","2014",2,"CT",0.012075,0.2455375,0.2685625,0.0152625,0.077975,0.0388875,0.0166125,0.0674,0.257675,0
"60","2014",2,"F10",0,0.1531125,0.185325,0.2922375,0.0989,0,0.139875,0.007125,0.1210125,0
"61","2014",2,"F2",0.003475,0.3333,0.2541,0.10115,0.0350375,0.0134,0.008275,0.0368375,0.21435,0
"62","2014",2,"F5",0,0.3331,0.3961,0.0083,0.1074625,0.0031875,0.0354,0.0025625,0.1138875,0
"63","2014",3,"CT",0,0.2216375,0.3639875,0.031425,0.126025,0.0640375,0.0161125,0.0463875,0.1304375,0
"64","2014",3,"F10",0.0038875,0.4706875,0.1097625,0.0892875,0.11285,0.0037875,0.0818875,0.0037875,0.124075,0
"65","2014",3,"F2",0.0027,0.2517875,0.3566625,0.0655,0.0604125,0.027225,0.0140375,0.0537375,0.1679875,0
"66","2014",3,"F5",0,0.265125,0.30625,0.0764875,0.0521625,0.0233,0.0246375,0.011775,0.2401625,0
"67","2015",1,"CT",0.0188,0.23592,0.30386,0.083,0.03786,0.00816,0.07062,0.09176,0.14996,0
"68","2015",1,"F10",0,0.5114,0.0742,0.11346,0.05476,0,0.03404,0.00774,0.0893,0
"69","2015",1,"F2",0,0.21186,0.51762,0.05564,0.0514,0.0089,0.0389,0.01282,0.1028,0
"70","2015",1,"F5",0,0.26396,0.34794,0.08476,0.0659,0.00586,0.04082,0.0226,0.16208,0
"71","2015",2,"CT",0.01854,0.22012,0.28538,0.012,0.1173,0.04428,0.06334,0.06844,0.17058,0
"72","2015",2,"F10",0.0014,0.46444,0.11206,0.07944,0.04346,0.00762,0.11896,0.00762,0.09926,0.0124
"73","2015",2,"F2",0,0.18438,0.46284,0.09734,0.02394,0.00538,0.03508,0.05808,0.13288,0
"74","2015",2,"F5",0,0.29756,0.3771,0.00594,0.05224,0,0.06018,0.00984,0.18366,0
"75","2015",3,"CT",0.02742,0.1705,0.1509,0.02578,0.05552,0.04684,0.0497,0.20198,0.2629,0
"76","2015",3,"F10",0,0.36016,0.13296,0.07406,0.12494,0,0.13728,0.00554,0.10354,0.0035
"77","2015",3,"F2",0.01312,0.23336,0.2845,0.06342,0.11132,0.02324,0.0762,0.04594,0.14904,0
"78","2015",3,"F5",0,0.288,0.2006,0.11938,0.10046,0.00868,0.07776,0.01564,0.18944,0
"79","2016",1,"CT",0.00525,0.1952,0.18955,0.035075,0.0652875,0.0573,0.0880375,0.1224125,0.2394625,0
"80","2016",1,"F10",0,0.236025,0.2534625,0.1881125,0.1709125,0,0.0710625,0.0034,0.077025,0
"81","2016",1,"F2",0,0.2077625,0.2800625,0.0458,0.222375,0.0378375,0.0630625,0.0321125,0.1109875,0
"82","2016",1,"F5",0,0.1699125,0.3634875,0.094875,0.06675,0.0132125,0.057825,0.01785,0.2082125,0
"83","2016",2,"CT",0.0037875,0.2190875,0.2997375,0.0447375,0.0366625,0.0287125,0.05335,0.1014,0.2124875,0
"84","2016",2,"F10",0,0.6296,0.1156125,0.066275,0.0861625,0,0.0418125,0,0.0499375,0
"85","2016",2,"F2",0,0.205075,0.392375,0.0765625,0.0383625,0.02455,0.0462125,0.032275,0.1845625,0
"86","2016",2,"F5",0,0.27675,0.2247125,0.02355,0.3072875,0.0012875,0.074425,0.00945,0.0770625,0.0055
"87","2016",3,"CT",0.002,0.235675,0.2564625,0.0705,0.1398125,0.043325,0.0627,0.081975,0.1075375,0
"88","2016",3,"F10",0.00215,0.745575,0.0738125,0.0190875,0.003475,0.001175,0.089475,0,0.0501,0
"89","2016",3,"F2",0,0.2307625,0.2908125,0.08855,0.0935125,0.0745125,0.04855,0.0582875,0.1138875,0.0011625
"90","2016",3,"F5",0,0.2208125,0.2275375,0.109075,0.20285,0.0137625,0.0938,0.0011125,0.1251625,0.00585
"91","2017",1,"CT",0,0.247391794625,0.244527913625,0.062072292,0.038997435,0.021948384375,0.071221418125,0.19581856175,0.118022200625,0
"92","2017",1,"F10",0,0.392214026125,0.098666029,0.24246780875,0.114941443625,0,0.050294254625,0.00479094425,0.051800380375,0.005736715
"93","2017",1,"F5",0,0.238984809875,0.418919534,0.141703225875,0.0252245305,0.005822369375,0.0601075475,0.010157323375,0.096356751,0
"94","2017",2,"CT",0.00596121975,0.206888159,0.236466799,0.013566674125,0.083500457,0.055602189625,0.05962486625,0.117696043625,0.2085484545,0
"95","2017",2,"F10",0,0.34263103775,0.081773782625,0.154761775875,0.2270640775,0.002232142875,0.0510256935,0.007430740875,0.0566398405,0.009774037125
"96","2017",2,"F2",0.001736111125,0.157459531625,0.474583943875,0.116510399375,0.046909663,0.01542934175,0.048472427625,0.023392861625,0.11550572025,0
"97","2017",2,"F5",0.001948071,0.242151939625,0.327953039625,0.006780823875,0.14785336775,0.010929834125,0.084949192375,0.002793296125,0.15824210875,0
"98","2017",3,"CT",0.00682546625,0.226083142125,0.25189366375,0.04576918325,0.141052474875,0.0906671145,0.03509804075,0.05928609475,0.13435687575,0
"99","2017",3,"F10",0,0.403877589125,0.027740432875,0.0616361935,0.41939458675,0,0.0493404235,0,0.024743442625,0
"100","2017",3,"F2",0,0.318089501875,0.367323615125,0.046173189,0.106064906625,0.035576643625,0.0532955755,0.02780589375,0.04362136225,0
"101","2017",3,"F5",0,0.399028117875,0.1999466725,0.075710925,0.13306529575,0.014120854375,0.060457474875,0.005779207125,0.094571750125,0
"102","2018",1,"CT",0,0.247994995375,0.294747827875,0.0877164405,0.032975712625,0.0291245705,0.10692019925,0.11714425925,0.07928434175,0.004091653125
"103","2018",1,"F10",0,0.34273994325,0.06410821875,0.30412357225,0.123942238625,0,0.074297216125,0.00127551025,0.042447106625,0.04706619425
"104","2018",1,"F2",0,0.19506675375,0.427247348625,0.140809610625,0.088692196375,0.015870206,0.086130569,0.01680521575,0.0293781,0
"105","2018",1,"F5",0.00110619475,0.269142825125,0.382321947125,0.130464867375,0.04466318575,0.007878267125,0.072981284,0.0095462775,0.07726357225,0.004631579
"106","2018",2,"CT",0.002419354875,0.275854186625,0.276767526,0.016758709625,0.09236725025,0.02685322775,0.085858254,0.100776354125,0.122345137375,0
"107","2018",2,"F10",0,0.47721054975,0.067127796,0.211231147375,0.135073566875,0.00123762375,0.047009396625,0.003219002125,0.021700335125,0.036190582
"108","2018",2,"F2",0,0.228121477375,0.44009486,0.136977541125,0.058386239625,0.007929321875,0.027731699,0.025336488,0.071322440375,0.004099932375
"109","2018",2,"F5",0,0.29998875425,0.382491528125,0.005662310875,0.129889898875,0.005804585,0.068668571125,0,0.107494352,0
"110","2018",3,"CT",0,0.245001852875,0.243815525375,0.083252247375,0.084508078625,0.063554350625,0.1191323335,0.08246289775,0.070498964625,0.007773749
"111","2018",3,"F10",0,0.4534989985,0.042497938375,0.048192036125,0.175100578375,0.001798561125,0.200617272625,0,0,0.078294615
"112","2018",3,"F2",0,0.316598804,0.353761742375,0.05070441975,0.10397023475,0.0280817575,0.084591468,0.043530682375,0.01876089125,0
"113","2018",3,"F5",0,0.31719871075,0.173704385875,0.139441494625,0.132521934125,0.00181159425,0.122406924875,0.0036231885,0.0520194035,0.057272363625
"114","2019",1,"CT",0.00324675325,0.16657345725,0.230338706875,0.0683801755,0.069310774625,0.022552046125,0.130786962125,0.13986804725,0.152920784125,0.000631313125
"115","2019",1,"F10",0,0.463637535,0.0275202645,0.161597672625,0.124446706125,0,0.112995997,0.005941255,0.05879789525,0.043552636625
"116","2019",1,"F2",0.002293578,0.14563796925,0.2706889915,0.14017082275,0.181818928125,0.00727380075,0.110919316125,0.008951983,0.069399409125,0.022281921625
"117","2019",1,"F5",0.003041243875,0.213841660625,0.176488572875,0.191155856375,0.075596740125,0.009361176,0.093563829875,0.01577176075,0.119392059,0.00623084225
"118","2019",2,"CT",0.006907349375,0.2325502825,0.2362336855,0.0231910475,0.073530738375,0.037111769125,0.0978260015,0.1115609485,0.174258255375,0.006063051125
"119","2019",2,"F10",0,0.571365272875,0.0321297185,0.21008668775,0.063344352625,0,0.058033417125,0,0.044508074875,0.019390923625
"120","2019",2,"F2",0,0.144480629375,0.4109438065,0.171936767375,0.038135018125,0.008454045625,0.05246297175,0.0383378415,0.1001067855,0.007151715
"121","2019",2,"F5",0,0.28097997975,0.379114141,0.0009541985,0.129876122125,0,0.139896974125,0.001908397,0.043240582,0
"122","2019",3,"CT",0.0152439025,0.208603789375,0.226174849625,0.0257840685,0.16916759775,0.04544819325,0.115161459875,0.10022982475,0.086390354875,0.004518609125
"123","2019",3,"F10",0,0.474928423375,0.035176097125,0.089636336,0.072216166375,0,0.207776726375,0,0.003318225,0.116067744
"124","2019",3,"F2",0,0.265199977625,0.2958472195,0.040485247,0.1606129445,0.03371072675,0.092026579625,0.057329229875,0.038929314375,0.0023779325
"125","2019",3,"F5",0.00706066125,0.335735704375,0.158730085,0.1091118995,0.177139693875,0.00258796675,0.105720716,0.00378787875,0.069364227,0.030761167625
"126","2020",1,"CT",0,0.2426433366,0.2276749254,0.0859691198,0.0535078302,0.0442877964,0.0230394302,0.1695950388,0.153282522,0
"127","2020",1,"F10",0,0.4136625658,0.0050632912,0.2560377712,0.1333686024,0,0.1116634564,0.0013422818,0.082674843,0.0161871882
"128","2020",1,"F2",0,0.1628511294,0.297879933,0.1422948654,0.1739892926,0.0561265216,0.0597067636,0.0160514526,0.091100042,0
"129","2020",1,"F5",0.0051282052,0.1883315304,0.2930834234,0.1918138144,0.0823570042,0.0125356126,0.0334861942,0.016509997,0.1767542188,0
"130","2020",2,"CT",0.0103225806,0.275678289,0.2626455734,0.0189275242,0.0607827508,0.0466631768,0.023467628,0.1164507858,0.1850616916,0
"131","2020",2,"F10",0,0.4386455298,0.037206747,0.2539010544,0.1184370786,0,0.0431813156,0.0025316456,0.1020287672,0.004067862
"132","2020",2,"F2",0,0.186513215,0.4128383856,0.203041988,0.0444322248,0.015397152,0.0174913928,0.0047783982,0.1155072436,0
"133","2020",2,"F5",0,0.2687322352,0.411437476,0.006550479,0.1282887344,0.0018018018,0.0911731346,0.005925926,0.0860902132,0
"134","2020",3,"CT",0,0.2236131806,0.2041393196,0.050976533,0.1285390926,0.1371981324,0.1067649452,0.076941675,0.0718271206,0
"135","2020",3,"F10",0,0.5566358552,0.0188486474,0.0638999038,0.1424685892,0,0.1311618906,0,0.0239122988,0.0597394816
"136","2020",3,"F2",0,0.339192105,0.3356098056,0.0333108274,0.1216386732,0.0475430808,0.0235340602,0.0573423534,0.0418290936,0
"137","2020",3,"F5",0,0.3453665056,0.171608263,0.1874270612,0.141800604,0,0.061357595,0.0075,0.0761808468,0.008759124
"138","2021",1,"CT",0.001260080625,0.197801558125,0.2880690955,0.0910572795,0.047842671625,0.006002713125,0.105010919375,0.09800795125,0.14054622375,0.024401507
"139","2021",1,"F10",0.0033701725,0.565901643,0.023964335,0.153433115375,0.06804948175,0.000556731375,0.0777557035,0.006885829,0.05309233075,0.04699065725
"140","2021",1,"F2",0.002714440875,0.15064781175,0.344030275625,0.127828760625,0.09937774975,0.0158958745,0.148974151375,0.016408709375,0.086363340625,0.007758885375
"141","2021",1,"F5",0.000286086625,0.253006429375,0.28317056225,0.131759968625,0.056169053625,0.004906288375,0.129584953125,0.00850422175,0.096055663125,0.03655677325
"142","2021",2,"CT",0.067916608375,0.23467838925,0.259376549375,0.01200679525,0.05644248475,0.012761062,0.08503525525,0.046511041875,0.21461175325,0.010660060875
"143","2021",2,"F10",0.0001313025,0.587940007,0.019187206875,0.218391060625,0.098011576875,0,0.024047003,0.00301204825,0.031449777875,0.017830017
"144","2021",2,"F2",0.00012926575,0.16367702675,0.38523003075,0.18820066775,0.048329732125,0.000933214375,0.066417214875,0.00454657025,0.133601273875,0.008935003125
"145","2021",2,"F5",0,0.3453933675,0.388537059875,0.001252997,0.112252379875,0.00015762925,0.10143640775,0,0.034840027,0.016130131375
"146","2021",3,"CT",0.005875440625,0.257675672,0.1939469185,0.022935540375,0.091391249,0.04107211375,0.1794260915,0.090097407,0.091085456625,0.026494110625
"147","2021",3,"F10",0.00770166775,0.625015166125,0.01778378925,0.047731945875,0.07285612825,0.003779311125,0.112020707625,0.001614247,0.00023706775,0.111259969625
"148","2021",3,"F2",0.000158227875,0.371878011,0.29851903275,0.047714637,0.08316938375,0.009180065125,0.121876906,0.035252434,0.01911792425,0.013133379
"149","2021",3,"F5",0.003860773875,0.354202888875,0.144701174875,0.16688187725,0.16168689075,0.000405789375,0.087509462375,0.002693265375,0.017183376125,0.060874501625
