year,plot,block,quad,species,rel.cov,lat.name
2010,CT,1,2,Arc alp,0.049,Arctostaphylos alpina
2010,CT,1,3,Arc alp,0.017,Arctostaphylos alpina
2010,F5,1,1,Arc alp,0.077,Arctostaphylos alpina
2010,F10,1,8,Arc alp,0.005,Arctostaphylos alpina
2010,CT,2,1,Arc alp,0.009,Arctostaphylos alpina
2010,CT,2,2,Arc alp,0.024,Arctostaphylos alpina
2010,CT,2,3,Arc alp,0.09,Arctostaphylos alpina
2010,CT,2,6,Arc alp,0.032,Arctostaphylos alpina
2010,F5,2,2,Arc alp,0.024,Arctostaphylos alpina
2010,F5,2,3,Arc alp,0.151,Arctostaphylos alpina
2010,F5,2,4,Arc alp,0.09,Arctostaphylos alpina
2010,F5,2,5,Arc alp,0.039,Arctostaphylos alpina
2010,F5,2,6,Arc alp,0.138,Arctostaphylos alpina
2010,F5,2,7,Arc alp,0.07,Arctostaphylos alpina
2010,F5,2,8,Arc alp,0.061,Arctostaphylos alpina
2011,CT,1,1,Arc alp,0.014184397,Arctostaphylos alpina
2011,CT,1,2,Arc alp,0.027027027,Arctostaphylos alpina
2011,CT,1,3,Arc alp,0.014492754,Arctostaphylos alpina
2011,F5,1,1,Arc alp,0.044444444,Arctostaphylos alpina
2011,CT,2,2,Arc alp,0.02962963,Arctostaphylos alpina
2011,CT,2,3,Arc alp,0.083916084,Arctostaphylos alpina
2011,CT,2,6,Arc alp,0.015625,Arctostaphylos alpina
2011,F5,2,7,Arc alp,0.155844156,Arctostaphylos alpina
2011,F5,2,8,Arc alp,0.049586777,Arctostaphylos alpina
2012,CT,1,1,Arc alp,0.0374,Arctostaphylos alpina
2012,CT,1,2,Arc alp,0.0721,Arctostaphylos alpina
2012,CT,1,3,Arc alp,0.0087,Arctostaphylos alpina
2012,F2,1,1,Arc alp,0.0076,Arctostaphylos alpina
2012,F2,1,2,Arc alp,0.0526,Arctostaphylos alpina
2012,F2,1,3,Arc alp,0.032,Arctostaphylos alpina
2012,F2,1,5,Arc alp,0.0769,Arctostaphylos alpina
2012,F2,1,6,Arc alp,0.0256,Arctostaphylos alpina
2012,F2,1,7,Arc alp,0.0612,Arctostaphylos alpina
2012,F2,1,8,Arc alp,0.0174,Arctostaphylos alpina
2012,F5,1,1,Arc alp,0.069,Arctostaphylos alpina
2012,CT,2,2,Arc alp,0.069,Arctostaphylos alpina
2012,CT,2,3,Arc alp,0.1727,Arctostaphylos alpina
2012,CT,2,6,Arc alp,0.0348,Arctostaphylos alpina
2012,F2,2,5,Arc alp,0.0065,Arctostaphylos alpina
2012,F2,2,6,Arc alp,0.0357,Arctostaphylos alpina
2012,F2,2,7,Arc alp,0.0116,Arctostaphylos alpina
2012,F2,2,8,Arc alp,0.0245,Arctostaphylos alpina
2012,F5,2,3,Arc alp,0.1333,Arctostaphylos alpina
2012,F5,2,4,Arc alp,0.137,Arctostaphylos alpina
2012,F5,2,5,Arc alp,0.0284,Arctostaphylos alpina
2012,F5,2,6,Arc alp,0.0662,Arctostaphylos alpina
2012,F5,2,7,Arc alp,0.0826,Arctostaphylos alpina
2012,F5,2,8,Arc alp,0.0429,Arctostaphylos alpina
2013,CT,1,1,Arc alp,0.0076,Arctostaphylos alpina
2013,CT,1,2,Arc alp,0.0286,Arctostaphylos alpina
2013,CT,1,3,Arc alp,0.0141,Arctostaphylos alpina
2013,F2,1,1,Arc alp,0.0497,Arctostaphylos alpina
2013,F2,1,2,Arc alp,0.1429,Arctostaphylos alpina
2013,F2,1,3,Arc alp,0.0267,Arctostaphylos alpina
2013,F2,1,5,Arc alp,0.0851,Arctostaphylos alpina
2013,F2,1,6,Arc alp,0.0311,Arctostaphylos alpina
2013,F2,1,7,Arc alp,0.1519,Arctostaphylos alpina
2013,F2,1,8,Arc alp,0.0588,Arctostaphylos alpina
2013,F5,1,1,Arc alp,0.7207,Arctostaphylos alpina
2013,F5,1,2,Arc alp,0.24,Arctostaphylos alpina
2013,CT,2,2,Arc alp,0.0397,Arctostaphylos alpina
2013,CT,2,3,Arc alp,0.1538,Arctostaphylos alpina
2013,CT,2,6,Arc alp,0.0392,Arctostaphylos alpina
2013,F2,2,5,Arc alp,0.0052,Arctostaphylos alpina
2013,F2,2,6,Arc alp,0.0811,Arctostaphylos alpina
2013,F2,2,7,Arc alp,0.0255,Arctostaphylos alpina
2013,F2,2,8,Arc alp,0.0353,Arctostaphylos alpina
2013,F5,2,3,Arc alp,0.1212,Arctostaphylos alpina
2013,F5,2,4,Arc alp,0.1569,Arctostaphylos alpina
2013,F5,2,5,Arc alp,0.0513,Arctostaphylos alpina
2013,F5,2,6,Arc alp,0.0654,Arctostaphylos alpina
2013,F5,2,7,Arc alp,0.063,Arctostaphylos alpina
2013,F5,2,8,Arc alp,0.0292,Arctostaphylos alpina
2014,CT,1,1,Arc alp,0.0204,Arctostaphylos alpina
2014,CT,1,2,Arc alp,0.0467,Arctostaphylos alpina
2014,CT,1,3,Arc alp,0.0291,Arctostaphylos alpina
2014,CT,1,5,Arc alp,0.0649,Arctostaphylos alpina
2014,F2,1,1,Arc alp,0.0725,Arctostaphylos alpina
2014,F2,1,2,Arc alp,0.102,Arctostaphylos alpina
2014,F2,1,3,Arc alp,0.0104,Arctostaphylos alpina
2014,F2,1,5,Arc alp,0.0822,Arctostaphylos alpina
2014,F2,1,6,Arc alp,0.0108,Arctostaphylos alpina
2014,F2,1,7,Arc alp,0.1122,Arctostaphylos alpina
2014,F5,1,1,Arc alp,0.0386,Arctostaphylos alpina
2014,CT,2,2,Arc alp,0.0423,Arctostaphylos alpina
2014,CT,2,3,Arc alp,0.1905,Arctostaphylos alpina
2014,CT,2,6,Arc alp,0.0408,Arctostaphylos alpina
2014,F2,2,5,Arc alp,0.0202,Arctostaphylos alpina
2014,F2,2,6,Arc alp,0.0095,Arctostaphylos alpina
2014,F2,2,7,Arc alp,0.0217,Arctostaphylos alpina
2014,F2,2,8,Arc alp,0.06,Arctostaphylos alpina
2014,F5,2,4,Arc alp,0.0102,Arctostaphylos alpina
2014,F5,2,6,Arc alp,0.0321,Arctostaphylos alpina
2014,F5,2,7,Arc alp,0.0201,Arctostaphylos alpina
2014,F5,2,8,Arc alp,0.0207,Arctostaphylos alpina
2015,CT,1,2,Arc alp,0.0268,Arctostaphylos alpina
2015,F2,1,2,Arc alp,0.0267,Arctostaphylos alpina
2015,F2,1,3,Arc alp,0.0137,Arctostaphylos alpina
2015,F2,1,4,Arc alp,0.0408,Arctostaphylos alpina
2015,CT,2,2,Arc alp,0.0142,Arctostaphylos alpina
2015,CT,2,4,Arc alp,0.0161,Arctostaphylos alpina
2015,F5,2,2,Arc alp,0.0082,Arctostaphylos alpina
2015,F10,2,1,Arc alp,0.0079,Arctostaphylos alpina
2015,F2,3,5,Arc alp,0.2429,Arctostaphylos alpina
2016,CT,1,4,Arc alp,0.0784,Arctostaphylos alpina
2016,CT,1,5,Arc alp,0.08,Arctostaphylos alpina
2016,F2,1,8,Arc alp,0.0594,Arctostaphylos alpina
2016,CT,2,8,Arc alp,0.0208,Arctostaphylos alpina
2016,F2,2,1,Arc alp,0.0545,Arctostaphylos alpina
2016,F2,2,6,Arc alp,0.0513,Arctostaphylos alpina
2016,F5,2,3,Arc alp,0.011,Arctostaphylos alpina
2016,F5,2,8,Arc alp,0.0206,Arctostaphylos alpina
2017,CT,1,1,Arc alp,0.060606061,Arctostaphylos alpina
2017,CT,1,2,Arc alp,0.034482759,Arctostaphylos alpina
2017,F5,1,4,Arc alp,0.032,Arctostaphylos alpina
2017,CT,2,1,Arc alp,0.005154639,Arctostaphylos alpina
2017,CT,2,2,Arc alp,0.054054054,Arctostaphylos alpina
2017,CT,2,3,Arc alp,0.128205128,Arctostaphylos alpina
2017,CT,2,5,Arc alp,0.010309278,Arctostaphylos alpina
2017,CT,2,6,Arc alp,0.012658228,Arctostaphylos alpina
2017,F2,3,3,Arc alp,0.310559006,Arctostaphylos alpina
2018,CT,1,1,Arc alp,0.030769231,Arctostaphylos alpina
2018,F2,1,5,Arc alp,0.097560976,Arctostaphylos alpina
2018,F2,1,6,Arc alp,0.067164179,Arctostaphylos alpina
2018,F2,1,7,Arc alp,0.025641026,Arctostaphylos alpina
2018,F2,1,8,Arc alp,0.02,Arctostaphylos alpina
2018,F5,1,4,Arc alp,0.02020202,Arctostaphylos alpina
2018,F5,1,6,Arc alp,0.009259259,Arctostaphylos alpina
2018,CT,2,1,Arc alp,0.007751938,Arctostaphylos alpina
2018,CT,2,2,Arc alp,0.066666667,Arctostaphylos alpina
2018,CT,2,3,Arc alp,0.096774194,Arctostaphylos alpina
2018,CT,2,6,Arc alp,0.036363636,Arctostaphylos alpina
2018,F2,3,3,Arc alp,0.134920635,Arctostaphylos alpina
2018,F2,3,4,Arc alp,0.028846154,Arctostaphylos alpina
2019,F2,1,5,Arc alp,0.058252427,Arctostaphylos alpina
2019,F2,1,6,Arc alp,0.018348624,Arctostaphylos alpina
2019,F5,1,4,Arc alp,0.020618557,Arctostaphylos alpina
2019,F5,1,5,Arc alp,0.007042254,Arctostaphylos alpina
2019,CT,2,2,Arc alp,0.006756757,Arctostaphylos alpina
2019,CT,2,3,Arc alp,0.196721311,Arctostaphylos alpina
2019,CT,2,6,Arc alp,0.03125,Arctostaphylos alpina
2019,F2,3,1,Arc alp,0.006711409,Arctostaphylos alpina
2019,F2,3,2,Arc alp,0.010416667,Arctostaphylos alpina
2019,F2,3,3,Arc alp,0.133333333,Arctostaphylos alpina
2020,CT,1,1,Arc alp,0.024390244,Arctostaphylos alpina
2020,CT,1,2,Arc alp,0.038961039,Arctostaphylos alpina
2020,F2,1,5,Arc alp,0.074626866,Arctostaphylos alpina
2020,CT,2,2,Arc alp,0.067114094,Arctostaphylos alpina
2020,CT,2,3,Arc alp,0.167741935,Arctostaphylos alpina
2020,F2,3,3,Arc alp,0.16374269,Arctostaphylos alpina
2020,F2,3,4,Arc alp,0.011111111,Arctostaphylos alpina
2008,F2,1,1,Arc lat,0.0515,Arctagrostis latifolia
2008,F2,1,2,Arc lat,0.10619,Arctagrostis latifolia
2008,F10,1,1,Arc lat,0.07,Arctagrostis latifolia
2008,F10,1,2,Arc lat,0.02941,Arctagrostis latifolia
2008,F10,1,4,Arc lat,0.01961,Arctagrostis latifolia
2008,F5,2,1,Arc lat,0.02051,Arctagrostis latifolia
2008,F5,2,2,Arc lat,0.01258,Arctagrostis latifolia
2008,F5,2,4,Arc lat,0.01031,Arctagrostis latifolia
2008,F10,2,1,Arc lat,0.16129,Arctagrostis latifolia
2008,F10,2,3,Arc lat,0.01724,Arctagrostis latifolia
2008,F10,2,4,Arc lat,0.19847,Arctagrostis latifolia
2008,CT,3,2,Arc lat,0.00503,Arctagrostis latifolia
2008,F2,3,1,Arc lat,0.00926,Arctagrostis latifolia
2008,F2,3,2,Arc lat,0.00909,Arctagrostis latifolia
2008,F2,3,3,Arc lat,0.0098,Arctagrostis latifolia
2008,F2,3,4,Arc lat,0.00966,Arctagrostis latifolia
2008,F5,3,2,Arc lat,0.01914,Arctagrostis latifolia
2008,F5,3,4,Arc lat,0.01835,Arctagrostis latifolia
2008,F10,3,1,Arc lat,0.03846,Arctagrostis latifolia
2008,F10,3,2,Arc lat,0.0198,Arctagrostis latifolia
2008,F10,3,3,Arc lat,0.01887,Arctagrostis latifolia
2008,F10,3,4,Arc lat,0.00952,Arctagrostis latifolia
2010,F5,3,7,Arc lat,0.004,Arctagrostis latifolia
2012,F5,1,5,Arc lat,0.0093,Arctagrostis latifolia
2010,CT,3,5,Arnica sp.,0.005,Arnica species
2010,CT,3,8,Arnica sp.,0.005,Arnica species
2010,F10,3,3,Arnica sp.,0.005,Arnica species
2008,CT,1,1,bare,0.03774,Bare soil
2008,CT,1,2,bare,0.02857,Bare soil
2008,F2,1,1,bare,0.02575,Bare soil
2008,F2,1,2,bare,0.0354,Bare soil
2008,F2,1,3,bare,0.0177,Bare soil
2008,F2,1,4,bare,0.07059,Bare soil
2008,F5,1,2,bare,0.04902,Bare soil
2008,F5,1,3,bare,0.03226,Bare soil
2008,F5,1,4,bare,0.01053,Bare soil
2008,F10,1,1,bare,0.03,Bare soil
2008,F10,1,2,bare,0.03922,Bare soil
2008,F10,1,3,bare,0.03883,Bare soil
2008,F10,1,4,bare,0.02941,Bare soil
2008,CT,2,1,bare,0.02941,Bare soil
2008,F5,2,1,bare,0.05128,Bare soil
2008,F5,2,3,bare,0.01242,Bare soil
2008,F5,2,4,bare,0.01031,Bare soil
2008,F10,2,1,bare,0.01075,Bare soil
2008,F10,2,3,bare,0.00862,Bare soil
2008,CT,3,1,bare,0.10417,Bare soil
2008,CT,3,2,bare,0.1608,Bare soil
2008,CT,3,3,bare,0.03704,Bare soil
2008,CT,3,4,bare,0.08824,Bare soil
2008,F2,3,2,bare,0.02727,Bare soil
2008,F2,3,3,bare,0.03922,Bare soil
2008,F2,3,4,bare,0.01932,Bare soil
2008,F5,3,1,bare,0.03968,Bare soil
2008,F5,3,2,bare,0.00957,Bare soil
2008,F5,3,3,bare,0.1,Bare soil
2008,F5,3,4,bare,0.02752,Bare soil
2008,F10,3,1,bare,0.02885,Bare soil
2008,F10,3,3,bare,0.00943,Bare soil
2008,F10,3,4,bare,0.01905,Bare soil
2010,CT,1,4,bare,0.009,Bare soil
2010,CT,1,5,bare,0.008,Bare soil
2010,F5,1,4,bare,0.011,Bare soil
2010,F5,1,6,bare,0.037,Bare soil
2010,F5,1,7,bare,0.021,Bare soil
2010,F5,1,8,bare,0.037,Bare soil
2010,F10,1,2,bare,0.038,Bare soil
2010,CT,2,1,bare,0.005,Bare soil
2010,CT,2,7,bare,0.019,Bare soil
2010,F5,2,1,bare,0.012,Bare soil
2010,F5,2,5,bare,0.013,Bare soil
2010,F5,2,6,bare,0.011,Bare soil
2010,F5,2,7,bare,0.014,Bare soil
2010,F5,2,8,bare,0.01,Bare soil
2010,F10,2,1,bare,0.008,Bare soil
2010,F10,2,3,bare,0.01,Bare soil
2010,CT,3,4,bare,0.011,Bare soil
2010,F5,3,3,bare,0.005,Bare soil
2010,F5,3,5,bare,0.006,Bare soil
2010,F10,3,5,bare,0.018,Bare soil
2011,F5,1,5,bare,0.052631579,Bare soil
2011,F5,1,6,bare,0.018181818,Bare soil
2011,F5,1,7,bare,0.058823529,Bare soil
2011,F5,1,8,bare,0.077669903,Bare soil
2011,F10,1,2,bare,0.07079646,Bare soil
2011,F10,1,5,bare,0.030769231,Bare soil
2011,CT,2,2,bare,0.088888889,Bare soil
2011,CT,2,3,bare,0.111888112,Bare soil
2011,CT,2,4,bare,0.033898305,Bare soil
2011,CT,2,5,bare,0.015267176,Bare soil
2011,CT,2,6,bare,0.015625,Bare soil
2011,CT,2,7,bare,0.027972028,Bare soil
2011,F5,2,3,bare,0.082644628,Bare soil
2011,F5,2,5,bare,0.026666667,Bare soil
2011,CT,3,2,bare,0.130434783,Bare soil
2011,CT,3,3,bare,0.050955414,Bare soil
2011,CT,3,4,bare,0.125,Bare soil
2011,CT,3,5,bare,0.18018018,Bare soil
2011,CT,3,6,bare,0.018181818,Bare soil
2011,CT,3,7,bare,0.030769231,Bare soil
2011,F5,3,2,bare,0.045112782,Bare soil
2011,F5,3,3,bare,0.025316456,Bare soil
2011,F5,3,5,bare,0.032258065,Bare soil
2011,F10,3,4,bare,0.022727273,Bare soil
2012,CT,1,1,bare,0.0093,Bare soil
2012,CT,1,4,bare,0.0074,Bare soil
2012,F2,1,1,bare,0.0076,Bare soil
2012,F2,1,5,bare,0.0385,Bare soil
2012,F5,1,1,bare,0.0086,Bare soil
2012,F5,1,4,bare,0.0078,Bare soil
2012,F5,1,5,bare,0.0093,Bare soil
2012,F5,1,6,bare,0.0083,Bare soil
2012,F5,1,7,bare,0.0172,Bare soil
2012,F5,1,8,bare,0.0388,Bare soil
2012,F10,1,1,bare,0.0194,Bare soil
2012,F10,1,2,bare,0.0308,Bare soil
2012,F10,1,3,bare,0.0187,Bare soil
2012,F10,1,5,bare,0.0288,Bare soil
2012,F10,1,8,bare,0.0317,Bare soil
2012,CT,2,2,bare,0.0414,Bare soil
2012,CT,2,3,bare,0.0288,Bare soil
2012,CT,2,4,bare,0.0581,Bare soil
2012,CT,2,7,bare,0.0141,Bare soil
2012,F2,2,3,bare,0.0128,Bare soil
2012,F5,2,1,bare,0.0153,Bare soil
2012,F5,2,5,bare,0.0071,Bare soil
2012,F10,2,1,bare,0.0109,Bare soil
2012,F10,2,2,bare,0.0396,Bare soil
2012,F10,2,3,bare,0.0374,Bare soil
2012,F10,2,4,bare,0.0429,Bare soil
2012,F10,2,5,bare,0.0068,Bare soil
2012,F10,2,6,bare,0.0079,Bare soil
2012,F10,2,7,bare,0.0296,Bare soil
2012,CT,3,1,bare,0.0215,Bare soil
2012,CT,3,2,bare,0.0127,Bare soil
2012,CT,3,3,bare,0.0417,Bare soil
2012,CT,3,5,bare,0.018,Bare soil
2012,CT,3,7,bare,0.0167,Bare soil
2012,F5,3,1,bare,0.0076,Bare soil
2012,F10,3,1,bare,0.0204,Bare soil
2012,F10,3,2,bare,0.0313,Bare soil
2012,F10,3,5,bare,0.0417,Bare soil
2012,F10,3,6,bare,0.0094,Bare soil
2012,F10,3,7,bare,0.0088,Bare soil
2012,F10,3,8,bare,0.0408,Bare soil
2013,F2,1,1,bare,0.0124,Bare soil
2013,F2,1,3,bare,0.0267,Bare soil
2013,F2,1,4,bare,0.0125,Bare soil
2013,F2,1,5,bare,0.0142,Bare soil
2013,F5,1,6,bare,0.0113,Bare soil
2013,F5,1,7,bare,0.0267,Bare soil
2013,F10,1,1,bare,0.0154,Bare soil
2013,F10,1,4,bare,0.0139,Bare soil
2013,F10,1,7,bare,0.0116,Bare soil
2013,CT,2,3,bare,0.0513,Bare soil
2013,CT,2,4,bare,0.0233,Bare soil
2013,F2,2,3,bare,0.0732,Bare soil
2013,CT,3,1,bare,0.04,Bare soil
2013,CT,3,4,bare,0.0196,Bare soil
2013,F10,3,6,bare,0.0068,Bare soil
2014,F2,1,1,bare,0.0104,Bare soil
2014,F2,1,3,bare,0.0104,Bare soil
2014,F2,1,4,bare,0.0402,Bare soil
2014,F2,1,5,bare,0.0046,Bare soil
2014,F5,1,1,bare,0.0048,Bare soil
2014,F5,1,4,bare,0.0103,Bare soil
2014,F5,1,7,bare,0.0225,Bare soil
2014,F5,1,8,bare,0.0098,Bare soil
2014,F10,1,1,bare,0.0215,Bare soil
2014,F10,1,2,bare,0.0045,Bare soil
2014,F10,1,3,bare,0.0337,Bare soil
2014,CT,2,3,bare,0.0286,Bare soil
2014,CT,2,4,bare,0.0417,Bare soil
2014,CT,2,7,bare,0.0213,Bare soil
2014,CT,2,8,bare,0.005,Bare soil
2014,F2,2,1,bare,0.0062,Bare soil
2014,F2,2,3,bare,0.0216,Bare soil
2014,F2,3,1,bare,0.0216,Bare soil
2014,F10,3,1,bare,0.011,Bare soil
2014,F10,3,3,bare,0.0105,Bare soil
2014,F10,3,6,bare,0.0096,Bare soil
2015,CT,1,2,bare,0.094,Bare soil
2015,CT,2,3,bare,0.0927,Bare soil
2015,F10,2,2,bare,0.007,Bare soil
2015,CT,3,1,bare,0.0078,Bare soil
2015,CT,3,3,bare,0.0661,Bare soil
2015,CT,3,5,bare,0.0632,Bare soil
2015,F2,3,4,bare,0.0656,Bare soil
2016,F10,3,5,bare,0.0172,Bare soil
2017,CT,2,2,bare,0.006756757,Bare soil
2017,CT,2,6,bare,0.006329114,Bare soil
2017,CT,2,7,bare,0.01793722,Bare soil
2017,CT,2,8,bare,0.016666667,Bare soil
2017,F2,2,8,bare,0.013888889,Bare soil
2017,F5,2,2,bare,0.009174312,Bare soil
2017,F5,2,8,bare,0.006410256,Bare soil
2017,CT,3,1,bare,0.034090909,Bare soil
2017,CT,3,3,bare,0.020512821,Bare soil
2018,F5,1,3,bare,0.008849558,Bare soil
2019,CT,1,5,bare,0.025974026,Bare soil
2019,F2,1,6,bare,0.018348624,Bare soil
2019,F5,1,3,bare,0.016393443,Bare soil
2019,F5,1,7,bare,0.007936508,Bare soil
2019,F5,3,3,bare,0.006535948,Bare soil
2019,F5,3,5,bare,0.042857143,Bare soil
2019,F5,3,6,bare,0.007092199,Bare soil
2020,F5,1,4,bare,0.025641026,Bare soil
2008,CT,1,1,Bet nan,0.16038,Betula nana
2008,CT,1,2,Bet nan,0.12381,Betula nana
2008,CT,1,3,Bet nan,0.12174,Betula nana
2008,CT,1,4,Bet nan,0.06504,Betula nana
2008,F2,1,1,Bet nan,0.01717,Betula nana
2008,F2,1,2,Bet nan,0.0885,Betula nana
2008,F2,1,3,Bet nan,0.0708,Betula nana
2008,F2,1,4,Bet nan,0.07059,Betula nana
2008,F5,1,1,Bet nan,0.04444,Betula nana
2008,F5,1,2,Bet nan,0.01961,Betula nana
2008,F5,1,3,Bet nan,0.05376,Betula nana
2008,F5,1,4,Bet nan,0.08421,Betula nana
2008,F10,1,1,Bet nan,0.04,Betula nana
2008,F10,1,2,Bet nan,0.26471,Betula nana
2008,F10,1,3,Bet nan,0.1165,Betula nana
2008,F10,1,4,Bet nan,0.23529,Betula nana
2008,CT,2,1,Bet nan,0.18627,Betula nana
2008,CT,2,2,Bet nan,0.11613,Betula nana
2008,CT,2,3,Bet nan,0.1118,Betula nana
2008,CT,2,4,Bet nan,0.09091,Betula nana
2008,F2,2,1,Bet nan,0.11429,Betula nana
2008,F2,2,2,Bet nan,0.13084,Betula nana
2008,F2,2,3,Bet nan,0.0995,Betula nana
2008,F2,2,4,Bet nan,0.12745,Betula nana
2008,F5,2,1,Bet nan,0.09231,Betula nana
2008,F5,2,2,Bet nan,0.1761,Betula nana
2008,F5,2,3,Bet nan,0.08696,Betula nana
2008,F5,2,4,Bet nan,0.18557,Betula nana
2008,F10,2,1,Bet nan,0.07527,Betula nana
2008,F10,2,2,Bet nan,0.21164,Betula nana
2008,F10,2,3,Bet nan,0.18103,Betula nana
2008,F10,2,4,Bet nan,0.25954,Betula nana
2008,CT,3,1,Bet nan,0.08333,Betula nana
2008,CT,3,2,Bet nan,0.13065,Betula nana
2008,CT,3,3,Bet nan,0.11111,Betula nana
2008,CT,3,4,Bet nan,0.03922,Betula nana
2008,F2,3,1,Bet nan,0.12963,Betula nana
2008,F2,3,2,Bet nan,0.12727,Betula nana
2008,F2,3,3,Bet nan,0.06863,Betula nana
2008,F2,3,4,Bet nan,0.13527,Betula nana
2008,F5,3,1,Bet nan,0.18254,Betula nana
2008,F5,3,2,Bet nan,0.17225,Betula nana
2008,F5,3,3,Bet nan,0.18889,Betula nana
2008,F5,3,4,Bet nan,0.15596,Betula nana
2008,F10,3,1,Bet nan,0.19231,Betula nana
2008,F10,3,2,Bet nan,0.18812,Betula nana
2008,F10,3,3,Bet nan,0.14151,Betula nana
2008,F10,3,4,Bet nan,0.15238,Betula nana
2010,CT,1,1,Bet nan,0.081,Betula nana
2010,CT,1,2,Bet nan,0.117,Betula nana
2010,CT,1,3,Bet nan,0.148,Betula nana
2010,CT,1,4,Bet nan,0.197,Betula nana
2010,CT,1,5,Bet nan,0.136,Betula nana
2010,CT,1,6,Bet nan,0.187,Betula nana
2010,CT,1,7,Bet nan,0.082,Betula nana
2010,CT,1,8,Bet nan,0.166,Betula nana
2010,F5,1,1,Bet nan,0.085,Betula nana
2010,F5,1,2,Bet nan,0.168,Betula nana
2010,F5,1,3,Bet nan,0.463,Betula nana
2010,F5,1,4,Bet nan,0.237,Betula nana
2010,F5,1,5,Bet nan,0.056,Betula nana
2010,F5,1,6,Bet nan,0.339,Betula nana
2010,F5,1,7,Bet nan,0.29,Betula nana
2010,F5,1,8,Bet nan,0.074,Betula nana
2010,F10,1,1,Bet nan,0.27,Betula nana
2010,F10,1,2,Bet nan,0.218,Betula nana
2010,F10,1,3,Bet nan,0.261,Betula nana
2010,F10,1,4,Bet nan,0.204,Betula nana
2010,F10,1,5,Bet nan,0.129,Betula nana
